發生時間,發生地點,死亡受傷人數,車種,經度,緯度
102年02月06日 05時30分,臺南市南區健康路一段173號,死亡1;受傷0,普通重型-機車,,
102年02月06日 06時47分,屏東縣九如鄉九如路二段成功二街口(附近)台三線429公里0公尺處南向外快車道,死亡1;受傷0,普通輕型-機車;營業用-曳引車,,
102年02月06日 08時40分,臺南市南區中華南路二段233巷興隆路(口),死亡1;受傷0,普通重型-機車;自用-小貨車,,
102年02月06日 09時16分,桃園縣大溪鎮文化路132巷文化路(口)(127號)旁(附近),死亡1;受傷0,自用-小客車;普通重型-機車,,
102年02月06日 10時50分,雲林縣莿桐鄉大美路(附近)台一丁線2公里7公尺處北向機車優先車道,死亡1;受傷0,普通重型-機車;自用-小貨車,,
102年02月06日 11時08分,新北市五股區疏洪一路前0.0公尺數0K+700處(附近),死亡1;受傷0,普通輕型-機車;自用-小貨車,,
102年02月06日 19時36分,嘉義縣太保市田尾里嘉49線0.7公里處溪南路口(附近),死亡1;受傷0,自用-小客車;行人-人,,
102年02月06日 20時05分,花蓮縣壽豐鄉共和村三農場路農墾二街(口)壽豐派出所轄(附近),死亡1;受傷1,自用-小客車;普通重型-機車,,
102年02月06日 20時50分,雲林縣虎尾鎮埒內里林森路1段67號旁道路〈63巷〉(附近),死亡1;受傷1,自用-大貨車;普通重型-機車;普通重型-機車,,
102年02月07日 04時15分,宜蘭縣羅東鎮中山路四段360號台7丙線24公里600公尺處西向中外車道,死亡1;受傷0,自用-小客車;行人-人,,
102年02月07日 09時50分,高雄市路竹區中山南路102號前,死亡1;受傷0,普通重型-機車;自用-小客車,,
102年02月07日 11時11分,新竹市東區大同路勝利路(口),死亡1;受傷0,自用-小客車;行人-人,,
102年02月07日 17時59分,新竹縣尖石鄉新樂村05鄰140號(水田道路)(附近),死亡1;受傷0,普通重型-機車,,
102年02月07日 18時23分,彰化縣二水鄉伍伯村員集路四段縱貫線246公里755公尺處伍伯路,死亡1;受傷0,行人-人;火車-其他車,,
102年02月07日 20時05分,臺中市龍井區忠和里臨港路二段63號,死亡1;受傷0,營業用-半聯結車;普通重型-機車,,
102年02月08日 03時00分,桃園縣龍潭鄉烏樹林村中豐路762號聖亭派出所(附近),死亡1;受傷0,自用-小客車,,
102年02月08日 08時05分,臺中市清水區三民路三段臨海路(口),死亡1;受傷0,自用-小貨車;普通重型-機車,,
102年02月08日 10時25分,高雄市仁武區仁心路17巷口,死亡1;受傷0,自用-小客車;普通重型-機車,,
102年02月08日 13時59分,新北市鶯歌區尖山路86號前0.0公尺數,死亡1;受傷0,自用-小客車,,
102年02月08日 16時06分,桃園縣蘆竹鄉海湖村台61線24公里500公尺處南向外側車道,死亡1;受傷0,自用-小貨車,,
102年02月08日 18時50分,宜蘭縣冬山鄉光明路368巷口(附近),死亡1;受傷0,普通重型-機車;自用-小貨車,,
102年02月08日 22時10分,嘉義市東區嘉義市東區文化路與北榮街口,死亡1;受傷0,普通重型-機車;行人-人,,
102年02月09日 23時50分,高雄市小港區大業北路22號前,死亡1;受傷0,普通重型-機車,,
102年02月10日 05時19分,臺中市西區英才路468號對面中正國小(附近),死亡1;受傷0,普通重型-機車,,
102年02月10日 11時25分,嘉義縣番路鄉新福村台18線29公里900公尺處西向中內車道,死亡2;受傷9,自用-小客車;自用-小貨車;自用-小貨車;自用-小貨車;自用-小貨車;自用-小貨車;自用-小貨車;自用-小貨車;自用-小貨車;自用-小貨車;自用-小貨車,,
102年02月11日 08時30分,高雄市小港區中山四路平和東路口以北50公尺處,死亡1;受傷0,自用-小客車,,
102年02月11日 12時30分,高雄市田寮區鹿埔路19號前,死亡1;受傷0,行人-人;自用-小客車,,
102年02月11日 16時28分,屏東縣恆春鎮山腳里恆東路58號200線4.2k西向車道(附近),死亡1;受傷0,普通重型-機車;遊覽車-大客車,,
102年02月11日 17時30分,高雄市前鎮區復興三路一心二路32巷2弄口,死亡1;受傷1,普通重型-機車;普通重型-機車,,
102年02月12日 05時00分,屏東縣佳冬鄉佳冬鄉台17線與民族路口北上車道(附近)台17線267公里800公尺處北向中內車道,死亡1;受傷0,自用-小貨車;普通重型-機車,,
102年02月12日 07時32分,新北市林口區無名路前0.0公尺數北77-1縣道無(附近),死亡1;受傷0,自用-小客車,,
102年02月12日 14時30分,嘉義縣番路鄉公田村台18線56公里700公尺處西向外側車道,死亡1;受傷0,自用-小客車;自用-小客車,,
102年02月12日 15時15分,雲林縣斗南鎮靖光路54巷與產業道路路口(四維所)(附近),死亡1;受傷1,普通重型-機車;普通輕型-機車,,
102年02月12日 18時21分,彰化縣埔心鄉彰化縣埔心鄉瓦北村員鹿路1段310號對面,死亡1;受傷0,行人-人;普通重型-機車;自用-小客車,,
102年02月12日 19時15分,彰化縣彰化市彰化縣彰化市中山路3段台化公司圍牆前(附近,死亡1;受傷1,普通重型-機車;行人-人,,
102年02月13日 14時05分,屏東縣屏東市仁義里海豐街仁義23-2號前(附近)台27線51公里050公尺處南向內側車道,死亡1;受傷0,自用-小貨車;普通重型-機車,,
102年02月13日 17時15分,臺南市將軍區廣山里南18線與南20線路口西向400公尺處(附近),死亡1;受傷2,自用-小貨車;自用-小客車;自用-小客車,,
102年02月13日 21時30分,臺南市龍崎區牛埔里南182線27公里700公尺處西向外側車道,死亡1;受傷3,自用-小客車;自用-小客車;自用-小客車;自用-小客車,,
102年02月14日 11時20分,屏東縣屏東市明正里中正路公園路(口),死亡1;受傷0,普通重型-機車;自用-小客車,,
102年02月14日 12時54分,嘉義縣義竹鄉溪洲村台19線91公里700公尺處北向外側車道,死亡1;受傷0,普通重型-機車,,
102年02月14日 14時30分,高雄市大寮區內坑路拷潭路口以東50公尺處,死亡1;受傷0,普通重型-機車,,
102年02月14日 21時30分,南投縣埔里鎮西安路三段003號台21線038公里0600公尺處北向外側車道,死亡1;受傷1,普通重型-機車;普通重型-機車,,
102年02月15日 02時50分,屏東縣萬丹鄉興安村新南路與福龍路口(附近),死亡1;受傷0,腳踏自行車-慢車,,
102年02月15日 03時05分,彰化縣埔鹽鄉台76線13公里600公尺處西向內側車道,死亡1;受傷0,自用-小客車,,
102年02月15日 05時10分,高雄市鳥松區美山路7號前,死亡4;受傷1,租賃車-小客車;租賃車-小客車;租賃車-小客車;租賃車-小客車;租賃車-小客車,,
102年02月15日 05時45分,桃園縣八德市廣德里建國路745-1號,死亡1;受傷2,自用-小客車;自用-小客車;自用-小客車,,
102年02月15日 07時40分,臺南市中西區民權路國華街(口),死亡1;受傷0,腳踏自行車-慢車;自用-小貨車,,
102年02月15日 09時53分,新北市林口區西濱快速道路前0.0公尺數台15線北上17(附近),死亡1;受傷0,普通重型-機車,,
102年02月15日 15時45分,臺南市仁德區中生里道路保安高幹44號電桿處(附近),死亡1;受傷0,普通重型-機車,,
102年02月15日 18時50分,屏東縣枋寮鄉隆山村隆山路(口)南迴線0公里598公尺處隆山路,死亡1;受傷0,行人-人;火車-其他車,,
102年02月16日 10時37分,新北市新莊區新樹路331號前0.0公尺數,死亡1;受傷1,普通重型-機車;行人-人,,
102年02月16日 18時16分,屏東縣萬丹鄉香社村中興路一段(68.5K)南下(附近)台27線68公里500公尺處南向外側車道,死亡1;受傷1,普通重型-機車;普通重型-機車;普通重型-機車,,
102年02月17日 09時07分,花蓮縣壽豐鄉鹽寮村台11線12公里800公尺處北向內側車道,死亡1;受傷0,普通重型-機車;自用-小貨車,,
102年02月17日 10時35分,臺南市七股區玉成里臺17線156公里900公尺處北向四岔路口車道,死亡1;受傷0,普通重型-機車;自用-小貨車,,
102年02月17日 14時00分,宜蘭縣壯圍鄉壯濱路五段215巷口(附近)台2線143公里500公尺處南向內側車道,死亡1;受傷1,普通輕型-機車;自用-小客車;普通輕型-機車,,
102年02月17日 17時00分,高雄市大樹區竹寮山產業道路電桿小坪幹3-3號前,死亡1;受傷1,普通重型-機車;普通重型-機車,,
102年02月17日 23時33分,雲林縣西螺鎮廣興里國道一號232公里800公尺處北向內側車道,死亡1;受傷3,自用-小客車;自用-小客車;自用-小客車;其他人-人;自用-小客車;自用-小客車;自用-小客車;自用-小客車;自用-小客車;自用-小客車,,
102年02月18日 07時27分,新竹縣湖口鄉長安路北窩路(附近),死亡1;受傷0,自用-小客車;行人-人,,
102年02月18日 07時40分,高雄市燕巢區深水路無名巷口,死亡1;受傷1,行人-人;普通重型-機車,,
102年02月18日 07時59分,彰化縣田尾鄉彰化縣田尾鄉饒平村富農路3段與富農路3段41巷口,死亡1;受傷0,自用-小貨車;普通重型-機車,,
102年02月18日 08時05分,屏東縣萬丹鄉萬後村和平西路與公園路口(附近),死亡1;受傷1,普通重型-機車;普通輕型-機車,,
102年02月18日 09時20分,臺中市南屯區向上路四段高架橋上往環中路方向第三根路燈(附近),死亡1;受傷0,普通重型-機車,,
102年02月18日 09時50分,宜蘭縣五結鄉三吉路國道5號側車道(口)191甲線9公里700公尺處南向外側車道,死亡1;受傷0,自用-小貨車;普通輕型-機車,,
102年02月18日 11時16分,臺南市白河區河東里172線33公里200公尺處東向外側車道,死亡1;受傷0,普通重型-機車,,
102年02月18日 12時05分,高雄市大寮區國華街仁愛路279巷口,死亡1;受傷1,普通重型-機車;自用-小貨車;普通重型-機車,,
102年02月18日 13時50分,彰化縣秀水鄉彰化縣秀水鄉金興村番花路45號,死亡1;受傷0,普通重型-機車;自用-小貨車,,
102年02月18日 14時09分,新竹縣關西鎮台三線56公里00公尺處北向內側車道,死亡1;受傷0,普通重型-機車,,
102年02月18日 14時50分,高雄市旗山區旗屏二路廣和路口,死亡1;受傷1,營業用-半聯結車;普通輕型-機車;普通輕型-機車,,
102年02月18日 16時12分,臺南市玉井區竹圍里臺3線372公里800公尺處南向內側車道,死亡1;受傷0,普通重型-機車,,
102年02月18日 20時50分,南投縣水里鄉上安村台21線85公里200公尺處北向內側車道,死亡1;受傷1,自用-小客車;普通重型-機車;自用-小客車,,
102年02月19日 03時00分,新竹縣湖口鄉八德路民聖高幹39B0806BC06(附近)台一線55公里500公尺處南向外側車道,死亡1;受傷0,普通重型-機車,,
102年02月19日 09時11分,宜蘭縣壯圍鄉永美路一段148巷永美路(口)宜8線6公里700公尺處西向內側車道,死亡1;受傷0,普通輕型-機車;自用-小貨車,,
102年02月20日 07時51分,花蓮縣花蓮市國光里復興新村56號前(中山所轄)(附近),死亡1;受傷0,普通重型-機車;自用-小客車,,
102年02月20日 20時40分,雲林縣莿桐鄉台一丁線2公里0公尺處北向內側車道,死亡1;受傷0,行人-人;自用-小客車;自用-小客車,,
102年02月20日 23時20分,臺南市東區東門路一段82號,死亡1;受傷0,普通重型-機車,,
102年02月20日 23時37分,雲林縣東勢鄉復興村興農街與產業道路(長成11A電桿)(附近),死亡1;受傷0,自用-小客車;普通重型-機車,,
102年02月21日 01時05分,臺中市龍井區新庄里台灣大道六段與水裡社路口(附近),死亡1;受傷0,普通重型-機車;自用-小客車,,
102年02月21日 13時15分,花蓮縣新城鄉北埔村光復路147號台9線197公里600公尺處南向外側車道,死亡1;受傷1,自用-小客車;普通重型-機車;自用-小客車;自用-小貨車;普通重型-機車,,
102年02月21日 19時50分,新竹縣芎林鄉永興村富林路一段557號,死亡1;受傷0,普通重型-機車,,
102年02月21日 20時05分,高雄市新興區民族二路興邦路口以北10公尺處,死亡1;受傷1,普通重型-機車;自用-小貨車;普通重型-機車,,
102年02月22日 01時21分,彰化縣埤頭鄉彰化縣埤頭鄉興農村彰水路4段108巷口,死亡1;受傷0,普通重型-機車;營業用-半聯結車,,
102年02月22日 04時28分,苗栗縣竹南鎮國道三號112公里800公尺處北向外側車道,死亡2;受傷6,營業用-全聯結車;自用-小貨車;自用-小客車;自用-小貨車;自用-小客車;自用-小客車;自用-小客車;自用-小貨車;自用-小貨車;自用-小貨車;自用-小貨車;自用-小貨車;自用-小貨車,,
102年02月22日 05時30分,嘉義縣大林鎮三和里162線10公里400公尺處東向外側車道,死亡1;受傷1,普通重型-機車;普通重型-機車,,
102年02月22日 06時02分,新北市淡水區中正東路二段143巷2弄前0.0公尺數,死亡1;受傷2,普通重型-機車;普通重型-機車;普通重型-機車,,
102年02月22日 06時20分,臺北市萬華區環河南路廣州街(口)環河南路 廣州街,死亡1;受傷0,計程車-小客車;行人-人,,
102年02月22日 12時10分,南投縣南投市彰南路三段880巷順溪北路(口),死亡1;受傷0,腳踏自行車-慢車,,
102年02月22日 21時58分,嘉義縣朴子市松梅里台19線90公里550公尺處南向外側車道,死亡1;受傷0,普通重型-機車,,
102年02月23日 06時34分,新北市蘆洲區三民路前0.0公尺數環堤大道路(口),死亡1;受傷2,自用-小客車;普通重型-機車;普通重型-機車;普通重型-機車,,
102年02月23日 07時50分,臺中市西屯區西屯路三段近東大路(往東大路)路燈桿048245前(附近),死亡1;受傷0,普通重型-機車,,
102年02月23日 11時54分,彰化縣大城鄉彰化縣大城鄉上山村大山路與城潭路口,死亡1;受傷0,自用-大貨車;普通輕型-機車,,
102年02月23日 13時25分,臺南市新市區南科南路南科三路(口),死亡1;受傷1,普通重型-機車;自用-小客車,,
102年02月23日 15時14分,臺北市中正區中華路1段中華路1段 忠孝西路1段,死亡1;受傷0,民營客運-大客車;普通重型-機車,,
102年02月23日 18時09分,新北市泰山區楓江路前0.0公尺數25巷口(泰山所(附近),死亡1;受傷1,普通重型-機車;普通重型-機車,,
102年02月23日 21時15分,高雄市旗津區通山路37號前,死亡1;受傷0,腳踏自行車-慢車;自用-小貨車,,
102年02月23日 23時10分,新北市板橋區雙十路二段134號前0.0公尺數,死亡1;受傷0,普通重型-機車,,
102年02月24日 11時51分,臺中市后里區公館里三豐路400-5號,死亡1;受傷1,大型重型1-機車;普通重型-機車,,
102年02月24日 18時48分,新竹縣湖口鄉民族街152號,死亡1;受傷1,普通重型-機車;行人-人,,
102年02月25日 00時22分,新北市林口區文化一路一段前0.0公尺數忠孝路(口)口(附近),死亡1;受傷0,普通重型-機車;自用-小客車,,
102年02月25日 02時01分,新竹縣湖口鄉台一線53公里500公尺處北向外側車道,死亡1;受傷1,自用-小客車;自用-小客車,,
102年02月25日 07時55分,臺南市仁德區仁義里中山路305巷360號,死亡1;受傷0,自用-大貨車;普通重型-機車,,
