,發生時間,發生地點,死亡受傷人數,車種
3319,103年10月30日 22時23分00秒,桃園縣大園鄉埔心村中正東路前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
3320,103年10月31日 04時58分00秒,臺中市烏日區國道1號 186公里南向外側,死亡1;受傷1,營業用-大貨車;自用-小貨車(含客、貨兩用);乘客-人
3321,103年10月31日 08時28分00秒,臺南市善化區國三道路10號涵洞路口,死亡1;受傷0,普通輕型-機車;營業用-半聯結車
3322,103年10月31日 12時10分00秒,高雄市茄萣區富強路前0.0公尺,死亡1;受傷0,普通重型-機車
3323,103年10月31日 17時45分00秒,南投縣南投市內興里南新路49號前5.0公尺,死亡1;受傷1,普通重型-機車;行人-人
3324,103年10月31日 17時47分00秒,彰化縣田中鎮山腳路5段前0.0公尺,死亡1;受傷1,行人-人;普通重型-機車
3325,103年11月01日 00時38分00秒,新北市泰山區公園路前0.0公尺,死亡1;受傷0,普通重型-機車
3326,103年11月01日 00時50分00秒,桃園縣八德市興仁里長興路 / 桃園縣八德市興仁里長興一路,死亡1;受傷1,普通重型-機車;行人-人
3327,103年11月01日 07時37分00秒,嘉義縣鹿草鄉163 18公里700.0公尺處西向內側,死亡1;受傷0,普通重型-機車;營業用-大貨車
3328,103年11月01日 12時44分00秒,臺南市新營區三仙里民治路84號前0.0公尺,死亡1;受傷1,行人-人;普通輕型-機車
3329,103年11月01日 15時42分00秒,新北市石碇區北宜公路前0.0公尺,死亡1;受傷0,普通重型-機車
3330,103年11月01日 18時35分00秒,基隆市七堵區新台五路前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人
3331,103年11月01日 20時45分00秒,高雄市仁武區文前路前0.0公尺,死亡1;受傷0,自用-小客車
3332,103年11月01日 22時40分00秒,桃園縣中壢市仁愛里榮民南路 / 桃園縣中壢市仁愛里華勛街,死亡1;受傷0,自用-小客車
3333,103年11月02日 05時20分00秒,桃園縣龜山鄉忠義路一段 / 桃園縣龜山鄉光華路,死亡1;受傷0,營業用-半聯結車;行人-人
3334,103年11月02日 08時31分00秒,臺北市南港區,死亡1;受傷1,計程車-小客車;普通重型-機車;行人-人
3335,103年11月02日 14時29分00秒,屏東縣恆春鎮山腳里恆南路 / 屏東縣恆春鎮山腳里龍鑾路,死亡1;受傷1,營業用-大貨車;普通重型-機車;乘客-人
3336,103年11月02日 16時04分00秒,彰化縣秀水鄉安溪街前0.0公尺,死亡1;受傷0,普通重型-機車
3337,103年11月03日 06時40分00秒,新北市樹林區環河路前0.0公尺,死亡1;受傷0,動力機械-其他車;普通重型-機車
3338,103年11月03日 09時10分00秒,屏東縣竹田鄉189線連城路口,死亡1;受傷0,普通重型-機車;自用-小客車
3339,103年11月03日 17時00分00秒,雲林縣水林鄉產業道路與產業道路,死亡1;受傷0,自用-小貨車(含客、貨兩用);自用-小客車
3340,103年11月03日 17時38分00秒,南投縣草屯鎮碧峰里碧山路前0.0公尺,死亡1;受傷0,營業用-曳引車;腳踏自行車-慢車
3341,103年11月03日 17時50分00秒,彰化縣彰化市金馬路2段前0.0公尺,死亡1;受傷0,自用-小客車;行人-人
3342,103年11月04日 10時27分00秒,南投縣埔里鎮中山路三段前0.0公尺,死亡1;受傷0,自用-小客車;行人-人
3343,103年11月04日 14時14分00秒,臺北市大同區,死亡1;受傷1,普通重型-機車;行人-人
3344,103年11月04日 16時03分00秒,桃園縣蘆竹鄉上竹路76巷前0.0公尺,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人
3345,103年11月05日 17時15分00秒,雲林縣斗六市民生南路 / 雲林縣斗六市城頂街,死亡1;受傷0,普通重型-機車;自用-小客車
3346,103年11月05日 18時21分00秒,臺南市東區崇明路 / 臺南市東區崇明六街,死亡1;受傷0,行人-人;自用-小客車
3347,103年11月05日 22時55分00秒,南投縣魚池鄉台21 66公里519.0公尺處南向外側,死亡1;受傷0,普通重型-機車
3348,103年11月06日 07時00分00秒,臺南市安南區頂安街 / 臺南市安南區頂安街,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人
3349,103年11月06日 17時48分00秒,南投縣南投市彰南路三段1629號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人
3350,103年11月07日 07時30分00秒,屏東縣麟洛鄉中山路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車
3351,103年11月07日 09時05分00秒,基隆市中山區德安路2-15號前0.0公尺,死亡2;受傷0,自用-大貨車;自用-小貨車(含客、貨兩用);自用-小客車;普通重型-機車;自用-小客車;普通重型-機車
3352,103年11月07日 18時20分00秒,彰化縣員林鎮員水路2段前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車;普通重型-機車
3353,103年11月07日 18時59分00秒,彰化縣北斗鎮斗苑路2段 / 彰化縣北斗鎮斗苑路2段,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
3354,103年11月08日 00時08分00秒,臺北市中山區民權東路 / 臺北市中山區松江路,死亡1;受傷0,計程車-小客車;普通重型-機車
3355,103年11月08日 09時35分00秒,高雄市岡山區成功北路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車
3356,103年11月08日 14時30分00秒,高雄市小港區金府路 / 高雄市小港區永順街口,死亡1;受傷0,普通重型-機車;計程車-小客車
3357,103年11月08日 14時58分00秒,臺南市新營區太子宮廟前路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);腳踏自行車-慢車
3358,103年11月08日 21時25分00秒,南投縣埔里鎮中正路、東華路路口,死亡1;受傷1,行人-人;普通重型-機車
3359,103年11月09日 04時12分00秒,雲林縣斗六市鎮南里民生南路 / 雲林縣斗六市鎮南里南興街,死亡1;受傷1,普通重型-機車;普通重型-機車
3360,103年11月09日 08時30分00秒,臺北市信義區,死亡1;受傷0,行人-人;自用-小客車
3361,103年11月09日 20時08分00秒,新北市泰山區新北大道6段前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車
3362,103年11月09日 22時15分00秒,桃園縣八德市和平路112號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人
3363,103年11月10日 06時10分00秒,雲林縣二崙鄉雲10線道路與雲14-2線道路口,死亡1;受傷0,普通重型-機車
3364,103年11月10日 11時18分00秒,新竹縣關西鎮茅子埔35號前,死亡1;受傷4,自用-小客車;乘客-人;乘客-人;乘客-人;乘客-人
3365,103年11月10日 11時35分00秒,苗栗縣頭份鎮中華路528號前0.0公尺,死亡1;受傷0,民營客運-大客車;行人-人
3366,103年11月10日 18時06分00秒,彰化縣芳苑鄉草漢路前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人
3367,103年11月11日 07時48分00秒,嘉義縣太保市(台18線3公里旁往北200公尺處) 太保往新埤方向產業道路,死亡1;受傷1,自用-小客車;普通重型-機車
3368,103年11月11日 18時50分00秒,基隆市中正區正義路2巷前0.0公尺,死亡1;受傷0,自用-小客車;行人-人
3369,103年11月12日 00時31分00秒,臺南市柳營區大農里德元埤大道二段前0.0公尺,死亡1;受傷0,普通重型-機車
3370,103年11月12日 08時00分00秒,彰化縣員林鎮山腳路1段前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車;營業用-半聯結車
3371,103年11月12日 08時48分00秒,臺北市士林區,死亡1;受傷1,普通重型-機車;自用-小客車;普通重型-機車;自用-小客車
3372,103年11月12日 11時30分00秒,雲林縣東勢鄉安南產業道路(安南31分35北1電桿),死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人
3373,103年11月12日 13時20分00秒,高雄市大寮區會結路前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車
3374,103年11月12日 16時00分00秒,臺南市安定區直加弄大道近安東路口,死亡1;受傷0,普通重型-機車
3375,103年11月12日 21時30分00秒,桃園縣觀音鄉富林村5鄰產業道路前0.0公尺,死亡1;受傷0,普通重型-機車
3376,103年11月12日 23時30分00秒,臺北市中山區,死亡1;受傷0,自用-小客車;普通重型-機車;民營公車-大客車
3377,103年11月13日 13時40分00秒,臺南市白河區,死亡1;受傷0,自用-小貨車(含客、貨兩用)
3378,103年11月13日 17時56分00秒,臺南市北區中華北路一段 / 臺南市北區賢北街,死亡1;受傷1,普通重型-機車;普通重型-機車
3379,103年11月14日 12時01分00秒,臺北市士林區 / 臺北市士林區中正路,死亡1;受傷0,遊覽車-大客車;行人-人
3380,103年11月14日 17時47分00秒,嘉義縣朴子市台82 12公里900.0公尺處西向內側,死亡2;受傷3,自用-大貨車;自用-小貨車(含客、貨兩用);乘客-人;乘客-人;乘客-人;乘客-人;自用-大貨車
3381,103年11月14日 20時30分00秒,屏東縣九如鄉九如路三段8號前0.0公尺,死亡1;受傷0,自用-小客車;自用-小客車;普通重型-機車;腳踏自行車-慢車
3382,103年11月14日 23時50分00秒,雲林縣北港鎮新德路前0.0公尺,死亡1;受傷0,自用-小客車;腳踏自行車-慢車
3383,103年11月15日 09時34分00秒,新竹縣湖口鄉中山路三段前0.0公尺,死亡1;受傷0,普通重型-機車;行人-人
3384,103年11月15日 12時35分00秒,新北市三重區環河路前0.0公尺,死亡1;受傷0,普通重型-機車
3385,103年11月15日 12時45分00秒,新北市坪林區北宜路前0.0公尺,死亡1;受傷0,營業用-大貨車;普通重型-機車
3386,103年11月15日 19時35分00秒,花蓮縣瑞穗鄉台9 263公里900.0公尺處北向內側,死亡1;受傷0,自用-小客車
3387,103年11月15日 21時30分00秒,雲林縣四湖鄉155公路11公里處南下,死亡2;受傷1,普通重型-機車;普通重型-機車;乘客-人
3388,103年11月15日 23時56分00秒,新北市萬里區臺2線道路前0.0公尺,死亡1;受傷0,行人-人;自用-小客車;普通重型-機車
3389,103年11月16日 05時45分00秒,南投縣仁愛鄉台14 71公里100.0公尺處東向中內,死亡1;受傷0,行人-人;自用-小客車
3390,103年11月16日 05時50分00秒,桃園縣中壢市仁義里中華路 / 桃園縣中壢市仁義里育樂路,死亡1;受傷0,計程車-小客車;行人-人
3391,103年11月16日 11時15分00秒,臺中市潭子區,死亡1;受傷0,行人-人;火車-其他車
3392,103年11月16日 17時55分00秒,新竹縣關西鎮118 37公里800.0公尺處西向內側,死亡1;受傷0,自用-小貨車(含客、貨兩用)
3393,103年11月16日 18時43分00秒,雲林縣土庫鎮崙內40東2電桿前路口,死亡1;受傷0,普通重型-機車
3394,103年11月16日 19時00分00秒,桃園縣觀音鄉觀音村文化路 / 桃園縣觀音鄉觀音村觀和路,死亡1;受傷0,普通重型-機車;民營客運-大客車
3395,103年11月16日 19時12分00秒,新竹市香山區西濱路前0.0公尺,死亡1;受傷0,行人-人;自用-小客車
3396,103年11月16日 20時06分00秒,屏東縣潮州鎮新生里六合路38號前0.0公尺,死亡1;受傷0,行人-人;民營公車-大客車
3397,103年11月16日 22時20分00秒,高雄市岡山區嘉新西路前0.0公尺,死亡1;受傷0,行人-人;自用-小客車
3398,103年11月17日 01時40分00秒,花蓮縣花蓮市,死亡1;受傷0,普通輕型-機車;火車-其他車
3399,103年11月17日 05時40分00秒,桃園縣新屋鄉笨港村文化路二段1638號前0.0公尺,死亡1;受傷0,租賃車-小客車
3400,103年11月17日 07時21分00秒,臺南市山上區(北勢洲)旁路口(南140-1線),死亡1;受傷0,普通重型-機車;自用-小客車
3401,103年11月17日 09時40分00秒,臺北市中山區,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人
3402,103年11月17日 11時58分00秒,宜蘭縣三星鄉三星路二段與三星路二段99巷口,死亡1;受傷0,普通輕型-機車;自用-小貨車(含客、貨兩用)
3403,103年11月17日 15時14分00秒,臺南市柳營區165 22公里500.0公尺處南向外側,死亡1;受傷0,自用-小客車
3404,103年11月17日 18時00分00秒,臺北市松山區,死亡1;受傷0,普通重型-機車;行人-人
3405,103年11月18日 00時00分00秒,臺南市麻豆區國道1號 308公里南向內側,死亡2;受傷1,自用-小客車;自用-小貨車(含客、貨兩用);自用-小客車;乘客-人
3406,103年11月18日 05時50分00秒,桃園縣八德市茄苳里中華路 / 桃園縣八德市茄苳里永豐路,死亡1;受傷0,行人-人;自用-小客車
3407,103年11月18日 08時56分00秒,屏東縣萬丹鄉崙頂村南北路二段與萬順路口,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
3408,103年11月18日 17時30分00秒,新竹縣新豐鄉新興路前0.0公尺,死亡1;受傷0,自用-大貨車;普通重型-機車
3409,103年11月18日 21時52分00秒,臺中市西屯區大石里中平路 / 臺中市西屯區大石里順平路,死亡1;受傷0,自用-小客車;普通重型-機車
3410,103年11月19日 07時35分00秒,宜蘭縣蘇澳鎮蘇港路前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-曳引車
3411,103年11月19日 14時41分00秒,新北市五股區中興路前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人
3412,103年11月19日 15時40分00秒,桃園縣龜山鄉萬壽路二段345號前0.0公尺,死亡1;受傷1,自用-小客車;普通重型-機車;普通重型-機車
3413,103年11月19日 15時40分00秒,彰化縣秀水鄉,死亡1;受傷0,普通重型-機車;自用-小客車
3414,103年11月19日 15時50分00秒,花蓮縣瑞穗鄉台9 268公里200.0公尺處北向中外,死亡1;受傷0,自用-小貨車(含客、貨兩用);大型重型1(550C.C.以上)-機車
3415,103年11月19日 17時00分00秒,彰化縣伸港鄉建國十街 / 彰化縣伸港鄉什股六街,死亡1;受傷0,自用-小客車;普通重型-機車
3416,103年11月20日 07時25分00秒,嘉義縣新港鄉嘉豐建材行前(南港派出所對面),死亡1;受傷0,自用-大貨車;普通重型-機車
3417,103年11月20日 09時30分00秒,南投縣草屯鎮國道3號 220公里300.0公尺處南向外側路肩,死亡2;受傷3,自用-小客車;乘客-人;乘客-人;乘客-人;乘客-人
3418,103年11月20日 18時15分00秒,桃園縣新屋鄉清華村中山東路一段278號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人;自用-小客車
3419,103年11月21日 06時40分00秒,高雄市楠梓區旗楠路 / 高雄市楠梓區東寧路口,死亡1;受傷0,普通重型-機車;遊覽車-大客車
3420,103年11月21日 07時55分00秒,臺南市柳營區太康里中山東路二段前0.0公尺,死亡1;受傷1,自用-小客車;乘客-人
3421,103年11月21日 10時10分00秒,臺南市六甲區六甲里中華路 / 臺南市六甲區六甲里中華路,死亡1;受傷2,普通重型-機車;行人-人;乘客-人
3422,103年11月21日 11時35分00秒,屏東縣麟洛鄉南二高平面道路14-4號橋墩前,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
3423,103年11月21日 12時40分00秒,高雄市湖內區和平路 / 高雄市湖內區東方路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
3424,103年11月21日 15時08分00秒,新北市坪林區北宜路前0.0公尺,死亡1;受傷0,大型重型1(550C.C.以上)-機車
3425,103年11月22日 05時29分00秒,臺北市士林區,死亡1;受傷2,自用-小客車;自用-小客車;乘客-人;普通重型-機車;普通重型-機車;普通重型-機車
3426,103年11月22日 09時24分00秒,宜蘭縣三星鄉中興路(尚武村047號電桿前),死亡2;受傷0,普通重型-機車;其他人-人
3427,103年11月22日 10時47分00秒,臺南市善化區臺1 312公里700.0公尺處北向中線,死亡1;受傷0,普通重型-機車;自用-小客車
3428,103年11月23日 12時24分00秒,新北市鶯歌區鳳三路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車
3429,103年11月23日 12時33分00秒,彰化縣埤頭鄉彰水路4段 / 彰化縣埤頭鄉舊溪路,死亡1;受傷0,自用-小客車;普通重型-機車
